Text: 猎魔人第三卷精灵之血，须知剑于釜之时，已近其为寒狼风雪之纪元。白霜与白光之时，将至，即为疯狂与轻蔑之时代。 ted darett 终结的时代，世界将于寒霜中死去，并于昔日下重生，那亦是喷 e chair 上古之血洒下之种。重生之时，此种不会萌芽，却将燃起烈焰 ice to us，, Start Time: 22700
Text: 化为头戴雨衣盔的黑色骑士在肆虐的红色艳墙前现出身形，起手催马袭来。头盔上的羽翼随风舞动，犹如飞翔的猛琴，而他无助的猎物早因恐惧而全身麻痹那只鸟，或者说那位骑士发出骇人残忍而又得意的奸笑。黑色战马，黑色盔甲飞舞的黑色斗篷，还有其身后的火焰，一片火海。我害怕黑鸟兼鸣翅膀，, Start Time: 459150
Text: 拍打羽毛，扫过他的脸，为什么没那就负担？虽然又无助，五百多的无法用警方的喉咙求救来救不好。羽翼俱盔的眼缝中闪出灼人的目光，黑色斗篷遮蔽了一切。嗯，他媳妇儿他醒了，全身麻木，大汗淋漓，他的尖叫声把自己都惊醒了。这尖叫声仍在空气中回荡，仍在他的身体里，胸骨下震颤，, Start Time: 505760
Text: 让他干涸的喉咙火烧火燎。他抽痛的手指攥紧毛毯，后背隐隐作痛。许瑞冷静点儿，夜色漆黑，风声阵阵，周围松树的树冠发出平静悦耳的沙沙声枝干嘎吱作响。没有害人的火海，没有尖叫，只有这轻柔的摇篮曲，身旁的萤火发出温暖和光亮，马锯的搭扣，反射着火光，有把剑斜靠在地上的马鞍鹏裹着皮革和金属带的煎柄被火光映红。, Start Time: 568525
Text: 没有其他火焰，也没有其他铁器，贴着他脸颊的手，有灰烬和皮革的味道，但没有血腥味。抽的好，只是个梦，噩梦而已。西瑞猛地打个寒颤，紧紧蜷起四肢梦，只是个梦，萤火渐暗，桦木枝烧得发红。不时，琵琶作响，站出蓝色火苗，男人将毛毯和羊皮裹在他身上，火光映亮了男人的白发，, Start Time: 620615
Text: 剪出他鲜明的侧影车头。我我在这儿睡吧，希瑞你需要休息，我们还要赶很长的路。我能听到音乐沙沙作响的铃木剑，又越生小气，是鲁特钦的禽兽，还有歌声辛特拉的公主命运。至此，胜过血脉之子、青灵之血的后裔，白了利维亚的杰洛特以及他的命运。不，那只是个传说，是身编造出来的公主已死，, Start Time: 663150
Text: 他企图逃脱，却在城镇的街道上被杀，抓紧了，是抓紧了。吉洛特怎么了？徐瑞他对我做了什么，发生了什么？他对我错了，什么谁那个骑士头盔上有雨衣的黑色骑士，我什么都不记得了，他朝我大喊，还看着我，我不记得发生了什么，只知道我很害怕，我怕他男人俯下身萤火的光芒，在他眼中闪烁，, Start Time: 720865
Text: 那是一对古怪的眼睛，非常古怪。希瑞曾经很怕，那对眼睛也曾不喜欢他的目光，但那是很久以前的事了。很久很久以前什么都不记得了。他第一声说，握住男人像树干一样坚韧粗糙的手。那个黑西施只是个梦，好好睡吧，他不会再来骚扰你了。希瑞也曾听过类似的安慰。每当他从梦中尖叫着惊醒，, Start Time: 773515
Text: 总有人向他重复这番话。但这次不同，这次他深信不疑，因为说这话的是利维亚的杰洛特，是白狼，是猎魔人，他是他的命运，是他命中注定之人。他被战争死亡和绝望包围时是猎魔人，杰洛特找到了他，带走了他，并答应他，两人永不分离。他握紧猎魔人的手，沉沉睡去，吟游诗人一曲唱罢微微，, Start Time: 816150
Text: 侧手用鲁特琴重弹一遍赋歌，部分琴声优雅，轻柔音调，只比学徒的伴奏高出少许。没人说话，除了渐弱的乐声，还有高大橡树的枝叶，随风摇曳的清响，周围一片寂静。古橡树周围停着一圈马车，突然一只拴在车上的山羊，咩咩地叫了起来，仿佛听到信号一般围成半圆的听众里有个人站起身，, Start Time: 866870
Text: 他肩披镶着金边的亮蓝色斗篷，僵硬而庄重的鞠了一躬。感谢您丹德里恩大师，他声音不大，却十分浑厚。请允许我牛堡的莱德克里夫魔法奥秘大师为您精湛的技艺献上感激与赞美。相信在场的诸位也会赞同我的观点。巫师的目光扫过，众人，轻重的数量远超百人。有的坐在地上，有的坐在马车上，, Start Time: 900405
Text: 有的干脆站着，在橡树下围成个紧密的半圆，彼此点头窃窃私语，有几个开始喝彩，另一些则举起双手向歌手致意。女人们被音乐触动，一边轻声抽泣，一边用手头的东西擦拭眼睛。具体用什么则取决于她们的身份、行业和富有程度。农妇用胳膊和手臂商人的妻子，用亚麻手帕商灵和贵妇人用上好的棉布手绢威利伯特男爵的三个女儿则在随从的陪同下，, Start Time: 932790
Text: 用高雅的翠绿色羊绒围巾响亮的醒着鼻子，男爵一家取消了鹰兽，专程赶来欣赏知名诗人的表演。毫不夸张的说，您深深打动了我们丹德里恩大师，您促使我们思考并反省，您触动了我们的心。请允许我表达感激与敬意。诗人站起身鞠了一躬，时髦帽子上的苍鹭羽毛拂过膝盖。他的学徒也停止演奏咧嘴笑着鞠躬。, Start Time: 972120
Text: 丹德里恩严厉的瞪着他压低声音骂了几句，男孩垂下脑袋继续轻柔的拨弄。卢特琴弦周围恢复了先前的嘈杂商人们窃窃私语几句，将一大桶啤酒推到橡树下。武士莱德克里夫跟威利伯特男爵专注的低声交谈。醒完鼻子后，男爵的女儿们将爱慕的目光投向丹德里恩，但诗人对此毫无觉察，他正专心致志的呲着牙冲，, Start Time: 1008055
Text: 一群骄傲而安静的流浪，精灵微笑眨眼。尤其是一位黑发大眼，戴着小巧貂皮帽的精灵美女，他还有不少竞争者那位精灵凭着大眼睛和漂亮的貂皮帽，吸引了人们的注意。有好些骑士和年轻学徒正对他眉目传情，精灵美女显然很享受。这样的关注，她抚摸着直筒连衣裙的蕾丝袖口睫毛忽闪，, Start Time: 1044140
Text: 其他精灵则将他团团围住，毫不掩饰对那些仰慕者的鄙夷之情。巨象树伯流赫里斯下方的林间空地是众所周知的旅人修憩处，也是流浪者的聚集之地，以开放和宽容闻名遐迩。德鲁伊对这棵古树保护有加，称这里为有谊之地欣然迎接每一位来客。但即便在世界知名的吟游诗人演出期间，旅人们还是不忘各自划清界限，, Start Time: 1075285
Text: 精灵跟精灵待在一起。矮人工匠聚在自己同胞的周围，他们经常武装到牙齿，被商队雇去当护卫，他们最多只能容忍侏儒、矿工和半身人。农夫在附近扎营，所有非人种族都与人类保持着距离，反之亦然。而且在人类内部，同样也有小圈子、贵族望向商人和刑犯的目光明显，带着鄙视士兵和雇佣兵，, Start Time: 1111075
Text: 尽量远离牧羊人和他们臭烘烘的羊皮，为数不多的巫师及其门徒，不愿跟任何人扯上关系，并对所有人都表现出同样的傲慢。农夫们人数众多，却安静的聚在不起眼的黑暗角落。他们背上的耙子、草插和连荚组成了一道茂密的树林，但各色人等都对他们视而不见，唯独孩子除外。这点一如既往，, Start Time: 1142860
Text: 他们在吟游诗人表演期间被迫保持安静，现在终于自由了。于是，大喊着冲进森林，兴致勃勃的玩起游戏，已经告别童年时光的成年人，永远都无法理解孩童的世界。而精灵矮人、半身人、侏儒、半精灵四分之一精灵以及那些身世未知的孩子们，他们也不懂什么叫种族和社会差异，至少暂时还没意识到。, Start Time: 1174095
Text: 没错，武师说的对空地上有位骑士大叫，他瘦的像根棍子，穿着红黑相间的束腰外衣。文章的图案是三头用后腿行走的狮子，您的歌谣太美妙了，相信我尊贵的丹德里恩。假如您经过我领主的巴德霍恩城堡，请务必去那落脚无需半点犹豫，我们会想招待王子。嗯，不不瞧，我说的，会像招待维斯密尔王一样招待您。, Start Time: 1206275
Text: 我以佩剑发誓，我听过许多吟游诗人的歌谣，但没有一个能跟您相提并论。大师请接受我们这些骑士。无论这身份是与生俱来，还是后天授予，请接受我们的敬意与赞美。作为对您记忆的报答，诗人敏锐的发现时机到了，于是冲学徒使了个眼色，男孩放下鲁特勤捡起用来收钱的小盒子，好让众人正确表达谢意与赞美。, Start Time: 1238760
Text: 随后，他犹豫了一下，目光，扫过人群，丢下小盒子，从旁边抱起一只大桶。丹德里恩大师为年轻人的机智投去赞许的微笑。大师，一个身形可观的女人坐在马车上喊道，马车两侧用油漆写着维拉洛文浩特及其儿子们的字样，车上装满柳条制品，他的儿子们却不见踪影，无疑正在浪费母亲辛苦赚来的财富丹等领安大师，, Start Time: 1271225
Text: 这算什么？刚把我们的胃口吊起来就完事儿了。您的歌谣这就唱完了继续唱，让我们听听。接下来发生了什么？歌曲和歌谣永远不会结束。亲爱的女士，因为诗歌永恒不朽，既没有开端也不会结束，可接下来发生了什么？女商贩没有放弃，还往学徒送到她面前的桶里，慷慨的丢了几枚硬币。, Start Time: 1306150
Text: 哪怕您不打算接着唱，也至少给我们讲讲啊。您的歌里没提名字，但我们知道您唱的猎魔人只可能是利维亚著名的杰洛特与他燃起爱火的女术士，是同样著名的叶妮芙。至于那个意外之子与猎魔人命运相连，一出生就被师爷束缚的孩子，就是希瑞拉不幸王国的希特拉公主。我说对了吗？丹德里恩露出微笑，, Start Time: 1334815
Text: 依然一脸神秘与冷漠。我的歌谣的情节，在任何地方都有可能发生。亲爱又慷慨的女士，歌中的情感，任何人都有可能经历与具体人物无关。切得了吧？人群中有个声音叫嚷，谁都知道这歌唱的是猎魔人。杰洛特威利伯特男爵的女儿们齐声尖叫，试图拧干湿透的围巾乐园大师接下来发生了什么？, Start Time: 1365480
Text: 猎魔人和女术士燕妮芙最终找到彼此了吗？他马上他的幸福，我们好想知啊，够了。矮人首领扯起嗓子，大吼起来，晃了晃长可及腰的浓密红胡须，什么公主女术士命运爱情，还有女人的幻想，全是狗屁。哎，请原谅俺的用词啊，伟答的诗人。但这些全是扯淡，是诗意的虚构，只为让故事更优美、, Start Time: 1399630
Text: 更感人。但战争方面，辛特拉王国的掠夺和屠杀，还有马纳达和索登的战役。你唱的当真太棒了。丹德里恩为那么一首歌掏前啊心甘情愿，这是一位战士的心声啊。谢尔顿斯卡格斯再次宣布你唱的句句属实，俺分得清谎话与真相。因为俺当时也在索登，凭俺手中的斧子对抗，尼弗加德入侵者，, Start Time: 1430550
Text: 我克洛伊的多尼米尔也参加了索登的两场战役，三雄师文章的授削骑士大喊，可我根本没见过你矮人。阁下毫无疑问，你负责照看补给车队。谢尔顿斯卡格斯反驳道，还可是在战况最激烈的前线呢，管好你的舌头大胡子，特洛伊的多尼米尔涨红了脸，拽拽自己的剑带。看清楚你在跟谁讲话，, Start Time: 1465260
Text: 管好你自己吧。矮人拍拍腰，带上的斧子，转向他的同伴咧嘴大笑，你们瞧见没？吊儿郎当的骑士，瞧见他的文章没盾牌上三头狮子两头在拉屎，一头在乱叫，冷静冷静，一个身披白斗篷的灰发。德鲁伊劝道，声音尖利而威严，这可不对呀，大人们别在伯留赫里斯的树冠下争吵，这棵树比全世界的争执和口角更古老，, Start Time: 1494460
Text: 也别当着诗人丹德里恩的面，我们从他的歌谣里应该学会爱，而非争斗。嗯，正是如此，一个又矮又胖，满脸汗光的牧师附和道，为何视而不见，听而不闻？因为你们心中没有对神的爱呀，你们就像空桶，哎，说了桶一个长鼻子。侏儒一在马车上尖声叫道，车身上骑着制寿五斤铁器的字样。, Start Time: 1531115
Text: 哎，我的好同行们，再搬个酒桶出来。诗人单德李恩的嗓子肯定冒烟了，我们也得来点儿他的曲子太动人了。哎呀，我说你们就像空桶牧师，一心想把话说完，抬高嗓门盖过侏儒铁匠的话，我告诉你们，你们完全没听懂。丹德利安大师的歌谣也什么都没学会。你们不明白歌谣讲的是人类的命运。, Start Time: 1563770
Text: 因为我们在诸神手中与玩物无异，我们的土地只是他们的游乐场。歌谣中的命运，描绘的是所有世人的宿命。而猎魔人杰洛特与希瑞拉公主的传说，尽管背景是那场真实的战争，这是单纯的隐喻，是诗人想象力的产物，这在帮助我们你在胡说八道什么啊？圣人维拉洛文浩特站到马车顶大喊什么？, Start Time: 1592340
Text: 传说什么想象力的产物，你可能不认识他，但我认识利维亚的杰洛特，我在维吉玛亲眼见过他，是他解除了伏尔泰斯特国王之女的魔咒。后来我在商道又遇见过他一次应吉尔迪亚之情，他斩杀了一头袭击商顿的凶暴施救兽，拯救了许多好人的性命。不，这不是传说，也不是童话故事。丹德里安大师唱给我们听的是事实，, Start Time: 1622420
Text: 真真真正的事实。我同意一位身材苗条的女战士说，她平滑的黑发梳向脑后，砸成一根粗辫子。我莱里亚的雷拉也认识白狼杰洛特著名的怪物杀手，我还多次遇见女术士叶妮芙女士。我以前常去亚殿和他的家乡温格堡，可我对他们相爱一事一无所知，但这肯定是真的。头戴貂皮小圆帽的迷人精灵，, Start Time: 1651760
Text: 突然用悦耳的声音说，如此动人的爱情，歌谣必有真实来源，一定有怎么都得有威利。伯特男爵的女儿们声援女精灵还不约而同的用围巾擦擦眼睛。可见的巫师阁下维拉洛文浩特转向莱德克里夫，他们是不是相爱的一对儿？您肯定知道他们的情况。我是说耶妮芙和猎魔人请告诉我们真相，既然歌里说他们相爱，, Start Time: 1681790
Text: 那他们一定相爱，他们的爱情将持续到天荒地老，这就是诗歌的力量。听人说，威利伯特男爵冷，不妨插嘴，温格堡的叶妮芙死在索登山，好几个女术士都死在那儿，不对纪念碑上没他的名字。特洛伊的多尼米尔说，我家乡在那儿附近，我经常爬上锁登山，看纪念碑上刻的名字，三个女术士死在那儿，, Start Time: 1714780
Text: 克里斯梅丽、葛德，还有丽塔尼德，别名珊瑚。第三个，我想不起来了，骑士瞥了莱德克里夫一眼巫师笑了笑，一言不发那个猎魔人。谢尔顿斯卡格斯突然大声道，深爱叶妮芙的杰洛特显然也入土了。俺听说他死在河谷地区，他砍了一头又一头怪物，终于遇到旗鼓相当的对手就是这么回事儿。, Start Time: 1746380
Text: 用剑者必亡于剑下，强中自有强中手，谁都难逃一败呀。我不相信女战士苍白的嘴唇变得扭曲往地下，用力啐了一口，他将双臂抱在胸前，包裹手臂的锁甲发出嘎吱嘎吱的声响。我不信有人比利维亚的杰洛特更强。我见过那猎魔人用剑的模样，他的速度简直不像人说的好。巫师莱德克里夫察言道，, Start Time: 1780585
Text: 不像人猎魔人都是变种人。所以他们的反应，我听不懂你的话，武师女战士的嘴唇扭曲的更难看了。你的用词太高深了，我只知道一件事，在我见过的剑客里，没一个能跟利维亚的白狼杰洛特相比。所以我不接受矮人的说法，不相信他会落败寡不敌众。谢尔顿斯卡格斯简短的回答，啥剑客都得嗝屁。, Start Time: 1813980
Text: 哎，正如精灵所说，精灵不会使用这么粗俗的字眼。原貌精灵美女身旁一位金发高挑，有着典型上古种族形象的男精灵冷冷开口。威利伯特男爵的女儿们用绿围巾捂着嘴尖叫。夫尔杰洛特杀的猎魔人找到了希瑞与他命运相连的孩子，最后又找到女术士燕妮芙他们三个会幸福快乐的生活在一起，, Start Time: 1842830
Text: 是这样吗？等严大师只是歌歌而已，尊贵贵的年轻而士吵着要啤酒的侏儒，铁匠打了个哈欠，干嘛要在歌谣里寻找真相呢？真相是一回事儿，师歌是另一回事儿。你举个例子呃，他叫什么来着？呃，希瑞著名的意外之子显然是丹德里恩大师编造出来的。我去过辛特拉很多次，那儿的国王和王后没生孩子，, Start Time: 1878075
Text: 没有女儿，也没儿子胡扯。一个身穿海豹皮外套，俄扎格斯花纹手帕的红发男人喊道，卡兰瑟王后，就是辛特拉辞世，有个女儿叫帕维塔，他死了，跟她丈夫一起，他们在海上遇到风暴双双葬身大子，你们听听，我可没来着。你们铁匠想让众人帮他作证似的叫道辛特拉公主呃，叫帕维塔，不叫希瑞，, Start Time: 1912120
Text: 希瑞拉，也就是希瑞，是溺亡的帕维塔的女儿，她是卡兰瑟的外孙女儿，她本人并非公主，而是辛特拉公主之女，他就是命中注定属于猎魔人的意外之子。甚至在他出生以前，王后就发誓会把外孙女交给他。正如丹德里恩大师歌中所唱，但猎魔人没能找到他，也没能把他接走。这一点我们的诗人没说。, Start Time: 1944115
Text: 对，是啊，他确实没说对。一个肌肉结实的年轻人嘲笑道，从衣着判断，他应该是个旅行学徒，正准备创作自己的作品，以通过师傅的测试，猎魔人与他的命运擦肩而过。希瑞拉死于辛特拉围城战，纵身跳下高塔之前，卡兰色王后亲手杀死了公主之女，免得她落入尼弗加德人的魔掌。哎，不是这样，, Start Time: 1973410
Text: 完全不是敌人。屠城时，公主之女，本打算逃离城镇，结果是途中遇害。那不管怎么说，猎魔人没能找到希瑞拉，哎，诗人撒了谎美丽的谎言，头戴貂皮帽的精灵说着依偎在高大的金发精灵怀里，重要的不是诗歌，而是事实。我告诉你，公主之女死在他外祖母手里去过，辛特拉的人都可以作证。, Start Time: 2003440
Text: 哎，可我要说她是逃跑途中在街上遇害的。我知道这事儿，虽然我不是辛特拉人，却效命于史凯利格伯军的部队。在战争中，妹妹爵爷是辛特拉的盟友，所有人都知道伊斯特图尔赛克辛特拉的国王就是来自史凯利格群岛还是伯爵的亲戚。我跟随伯爵的部队在马纳达基辛特拉作战溃败后又去了索登，, Start Time: 2032890
Text: 然后又是位老兵啊，谢尔顿斯卡格斯冲身边的矮人们大吼，人人都是英雄和战士。嘿，伙计们，你们有谁没在马纳达和索登打过仗的，干嘛这么挖苦人？斯卡格斯高个精灵朝矮人走女，不忘搂住戴貂皮帽的精灵美女，显然是要打消其他养牧者残留的幻想。别以为只有你在索登打过仗，我也参与了那场战役，, Start Time: 2061720
Text: 只是不知站在哪边。威利伯特男爵对莱德克里夫大声耳语，但高个精灵置若妄闻。各位都知道，超过十万勇士参加了索登山的第二次战役，至少三万人身负重伤，乃至战死沙场精灵继续说着看都没看男爵和巫师一眼。你们应当感谢丹德里恩大师，因为他只用一首歌谣，便将可怕而惨烈的战斗永久记录下来。, Start Time: 2092485
Text: 在他的歌词和旋律中，我没听到吹捧，只听到警示。所以我重复一遍，请赞美这位诗人，并把他的歌谣传播出去。或许这能在将来阻止同样残酷且毫无必要的战争。的确，威利伯特男爵挑衅的看着精灵可敬的精灵阁下，你从歌谣中解读出了不少有趣的内涵，但你说毫无必要的战争，你希望将来不再发生同样的悲剧，, Start Time: 2122505
Text: 我们是不是可以这样理解？如果尼弗伽德人再次进攻，你建议我们投降谦卑的接受尼弗伽德人的奴役，生命无价，值得珍惜，任何理由都不能为大屠杀和牺牲开脱，包括索登战役，无论失败，那场还是获胜，那场每场战役都付出了数千条人命的代价，你们还损失了无法想象的潜在啊，精灵的鬼扯。, Start Time: 2155185
Text: 切尔顿斯卡格斯吼道，彻头彻尾的蠢话，他们付出如此代价，为的就是让其他人能过上和平体面的日子，而不是被人拴上铁链蒙住眼睛在皮鞭驱赶着下矿井做苦力，多亏丹德里恩英勇，战死之人才会长存在俺们的记忆里，教导俺们保卫家园，哎，唱你的歌吧。丹德里恩唱给所有人听，你这一刻不会白费走着瞧吧，, Start Time: 2184080
Text: 他迟早会派上用场。因为记住俺的话，你府家德人还会卷土重来，不是今天就是明天。他们眼下正在舔舐伤口，恢复元气，但重建他们黑斗篷和羽翼盔的日子已经不远了，他们到底想干什么？维拉洛文浩特嚷道，干嘛要来迫害我们，为什么不让我们平平静静的过日子？你夫家的人到底想怎样啊？, Start Time: 2216020
Text: 他们要我们流血，还要我们的土地，还要俺们的女人。有人笑了起来，尽可能压低声音，免得引起注目。女矮人毫无魅力可言。除了男矮人之外，别的种族会对他们感兴趣，想想就叫人乐不可支，但千万别取笑他们，尤其不能当面惹恼。这些矮小健壮的大胡子，他们的腰带上可都挂着斧头和短刀，, Start Time: 2249045
Text: 出手，速度又快如闪电，不知出于什么原因，矮人坚信，全世界都对他们的妻女垂涎三尺，而在这方面他们也是敏感异常，这是早晚的事儿，无法避免灰发。德鲁伊突然宣称，我们忘记了自己，并非世上唯一的居民，也忘记了所有造物，并不会以我们为中心。我们就像池子里愚蠢肥胖又蓝色的条鱼，, Start Time: 2279590
Text: 拒绝像蟹梭鱼的存在。我们把世界变成一滩满是烂泥的死水。看看你们周围吧。罪行与罪孽贪欲与贪婪，口角与竞争简直无处不在，传统正在消亡。可敬的价值观也在丧失，我们不遵从自然规律，处处逆天而行。于是得到了什么？熔炉的恶臭污染了空气屠宰场和柔格工坊污染了河流与溪水森林不假思索的被砍伐。, Start Time: 2311140
Text: 哼看呐，即使在神圣的伯流赫利斯的树皮上，就在诗人头顶，也有一句用刀子刻下的污言秽语。而且还拼错了肇事者，肯定既愚蠢又无知。你们惊讶什么结果肯定好不了。哎，是的是的，胖牧师帮强道清醒过来吧，你们这些罪人趁还有时间，因为诸神的愤怒和报复即将降临，牢记伊斯林的神谕。, Start Time: 2348285
Text: 他的预言讲述了诸神将向罪恶之人施加的惩罚，轻蔑的时代即将到来。届时，树叶落尽，芽垒凋蝉，果实腐朽两种苦涩，河谷清水化为坚冰。白霜将至，白光接踵而来，世界已将湮灭于狂风暴雪女先知伊斯琳。如是说，这一切到来之前会有清晰的预兆。文疫将劫掠这片大地，千万牢记你夫迦德人就是我们的神法，, Start Time: 2383260
Text: 他们便是抽打罪人的诸神之鞭。所以你们当闭嘴，你这貌似近前的老东西，希尔顿斯卡格斯跺着沉重的靴子，怒吼道，你这些迷信的疯化，让俺想吐我的肠胃饿。当心希尔顿不要嘲笑别人的信仰。高个精灵微笑着打断他，这既不讨喜，也不礼貌，更不安全。俺啥也没嘲笑，俺不怀疑朱身的存在。, Start Time: 2426595
Text: 但有人强行把他们跟凡尘琐事扯上关系，还想用某个疯子精灵的预言蒙骗俺的眼睛，这让俺心烦你服家德人是什么？诸神之鞭胡说八道，好好回想一下想想迪斯莫德拉多韦德和山布克的时代，想想老橡树阿拉布德的时代，或许你们已经忘了，因为你们寿命太短，就像浮游。但俺还记得俺要告诉你们，, Start Time: 2457955
Text: 自你们从雅鲁加河口和庞塔尔三角洲的船里爬上岸之后，这几块土地发生了什么？三个王国自靠岸的四艘船兴起，互相吞并，进而发展壮大地位愈加巩固。你们侵略其他人的疆土加以征服，王国也随之扩张，越来越庞大，越来越强盛。如今泥福家德人也在做同样的事，因为他们是个强大、团结、, Start Time: 2491860
Text: 纪律严明的国家，你们若不能团结一心，尼弗加德人就会吞噬你们像梭鱼吞食条鱼。恰如这位睿智的德鲁伊所言，让他们试试特洛伊的多尼尼尔挺起绣有狮子纹章的胸口，挥舞鞘中的宝剑。我们能在索登山打的他们一败涂地，就不怕他们再来，你太自以为是了，你显然忘了骑士阁下索登山战役之前，, Start Time: 2524660
Text: 尼弗加德人曾在你们的土地上势如破竹，马纳达和河谷地区间的平原上满是尸体，都是像你这样英勇的战士阻止尼弗加德人的不是夸夸其谈的自大狂，而是泰莫利亚、瑞达、尼亚亚典和科德温王国的联军，是协约和团结阻止了他们。不仅如此，莱德克里夫用冰冷而洪亮的声音评论道。不仅如此，, Start Time: 2557160
Text: 斯卡格斯格下矮人响亮的咳嗽，一声醒醒，鼻子挪动双脚，然后冲巫师略鞠一躬，说道，没人否认你们同行的贡献，只有最可耻的人才不愿意承认索登山上巫师们的英勇事迹，他们勇敢的坚守阵地，为共同的目标挥洒鲜血。在这场胜利中，他们居功至伟丹德里恩的歌谣不忘提及他们，俺们也不会忘，, Start Time: 2588520
Text: 但还要指出，索登山上的巫师们团结又忠诚的接受洛格一文的福戈维特兹的指挥。正如俺们四大王国的勇士服从瑞达尼亚的维兹米尔王的命令，可惜团结和睦只维持到战争结束和平之后，俺们又有了分歧。维斯米尔王与福尔泰斯特王用关税和贸易法令互相倾压。亚典的德玛为王在北方边境与科德温的亨塞特王争执不断。, Start Time: 2624235
Text: 亨弗斯联盟与科贝尔的蒂森家族势如水火。俺还听说巫师间的古老协议也名存实亡啊。俺们既不和睦，也没纪律，更不团结。而尼弗嘉德人恰恰相反，尼弗嘉德的统治者、山西尔瓦恩瑞斯皇帝，他是暴君和独裁者，用鞭子绞索和斧头强迫人民服从。威利伯特男爵高声道，矮人阁下，你在提议什么？, Start Time: 2659745
