Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭幕安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 因为地底下住了一条叫史茅格的龙，他有非常强的魔力。嗯，然后那个对他他他用魔力把那个苹果所有地表的东西都往弹地心去吸，嗯，那也是可以的。那这个是不是有点太夸张了，这个对你觉得夸张，但首先他逻辑上是是通的没错，但是无法考证它到底有没有那条龙啊？对它首先它有它有一个非常强的，, Start Time: 353570
Text: 就是呃它但是它比较复杂，就是说你说我呃就两步有地心引力，所以苹果落地，那这就是就这么两步，我们可以推导出解释这个现自然现象。嗯，那我也那我我说龙 OK 在地心里面有这条龙，它把它吸下来。那首先为什么地心里有这条龙？ OK 神为什么地心里会有一条龙？而且第二它的魔力是从哪里来的啊，, Start Time: 375540
Text: 他为什么要吸这个苹果？嗯，这会有非常非常多，我们就这么一句话解释不通。那我们可能要为了补全这个东西，我们后面会衍生出非常非常一系列，像多米诺骨牌一样。我们要解释为什么地心里面这条龙，为什么为什么为什么就是它会会有这种魔力，那这个这个这个就会非常非常需要花非常长的时间去补完它。, Start Time: 400240
Text: 嗯，所以这个就是就是完全没有必要的这个这个这这套理论就所以说可能合理，但是完全没有必要。对，但但注意的是，这并不是说我们用这个理论并不是什么地方都可以用。也不是说我们更多这个理论用在是辨别科学跟非科学。嗯，呃怎么解释呢？就是说如果是两个科学理论的话，就就比如说呃就比如说之前就我不理科科生，, Start Time: 419940
Text: 可能能说有点不对。但比如说之前就是对对于光的本质，就可能就是之前有一个就是牛牛顿可能会认为光是一个一种例子一样的东西。嗯，那可能呃有另外派人认为光是一种像波一样的东西，那么这两派理论可能其中一前可能前者比后者要复杂一点，或者后者比前者复杂一点。但是这两者我们不能说简简单单就直接套奥康米提提理论说，, Start Time: 447160
Text: 哎呀，这个简简单的就是对对的，并不是因为科学怎么说呢？如果是科学理论的话，我们是可以去求证的。我们可以通过用实验去求证的。就是说呃如果能够用，通过通过实验求证，还是我们要遵从实验，而不是简单的就套用这样一个经验原则。那如果说但这个是什么时候能用呢？就是一些东西，, Start Time: 471750
Text: 当他不可能求证或者会特别去特求证起来特别麻烦的时候，那我们就不可以。比如说比如举个例子说星座嗯，我们星座你说我可以证明星座的学说是假的吗？可以，我只要调查全球六十亿人、七十亿人，我把他们做一个整个调查说，哎呀，这个是吧？是不是处女座人是不是真的特别讨厌？那几率是多少，, Start Time: 491570
Text: 是不是比其他星座人几率大很多？可以，但是这个成本非常大。而且就是我相信没有人就是会没有科学家会这么无聊，真的去做这样一个求证。嗯，所以这个时候，那我们不妨就直接用这个理论去省掉这个求证的过程。嗯，我就说没有必要去讨论这个东西，还然后就是这个就是他凡是凡是他求证难度越大，, Start Time: 513580
Text: 那他的这个奥康提到理论越有用，比如说最难度最大是什么？世界上有没有神，这个我们不知道怎么去求证。对，我们不是说奥康姆皮劳理论，我不是说就是说你不符合这个理论的，不符合这个原则的，你就是假的，你就是不对的。我们只是说它是不科学的，或者说是不理性的。就是说我们没有办法用科学手段去认同你。, Start Time: 534840
Text: 我们只是说我们就没有必要必要讨论论，就是说那有没有神的问题，科学没有办法去证明它不存在说们只能证明它存在。在我们说我们是最大阴阴谋论是你是这个意思。如果不有没开宗教，不是就只是说我们不是说这有点像薛定谔的猫，嗯，对吧？你如果能打开这个这个这个有毒气，然后猫在这个这个密闭的环境里面，, Start Time: 557060
Text: 你在打开之前，这猫可能是死的，也可能不是死的那如果你能打开的话，那么就是那那你如果能打开能看它死不死。那当然我们打开看它死的。但是很多时候，尤其比如说宗教这种东西，你压根儿打不开那个东西，对你没法证明。所以我我们就不讨论这个东西，因为讨论下去没有用，讨论下去没有任何结果，, Start Time: 579100
Text: 谁有说说服不了谁。那我觉得但大众往往会比较偏向于对阴谋论的那个解释会很感兴趣。对，因为他因为现比脑脑洞，我觉对，而而且因为现实无无聊现现对，其实你说白了就很乏味，它很简单。对，所以所以我们总所所以为什么们需要要小说，需要电影啊，需要游戏？对，需要游戏，尤其需要动漫这样的东西。, Start Time: 598400
Text: 对对，所以就是就是因为我们需总是我们我们对真相，我们人类想象力总是控制不住。对，所所以们是是不可以引到这个游戏上面来。对，我们这个我这个那我们这这个就毫无疑问的，我们这个四客信条这个系列对它基本上就是一个脑洞大开的对历史的补补完吧。因为这个阴谋论，我觉得他们可以激发这个嗯编剧人的想象。, Start Time: 621350
Text: 对，还是跟这个历史结合起来，可能会让人觉得这个嗯当时可能哎没准真的是这样发生的。对对对，金庸也老爱干这事，对郭靖是存在的嘛，对不对？其然你觉得肯定是假，比如说大家玩要在的嘛，嗯对，里面有很多桥段都是历史上确确实有那个事情。对，但是没有人记录下来到底是谁干的，, Start Time: 647650
Text: 所以就可以把主角对带他到里面。对对，然后而且就这个就很扯，就反而反正那些没有记录，结果后面都是一个人，对，都是一个都是一个人。对，而且这个刺客信条特别厉害，是在于他把整个个的类历史史，从我们知道的这个圣经的故事到希腊神神话，甚至有这个近代的一些历史。他都整个把用用这个很就是就是把这个东西去解决。, Start Time: 667600
Text: 都说后面有这么一群人，他们在阴谋的有一些特别的目的去做这样的事情。对，等咱铺垫了这么多，是不是就可以讲一讲这个刺客信条里面的世界观，到底是如何实现这个阴谋论的体系的？对，首先我们在讲它具体这个这个一具体它那个设定是什么？之前我们首先要看看历史。对，就看为什么这个历史它有哪些控子，, Start Time: 692560
Text: 它是可以钻。嗯，对，就首先我们就我们知道刺客信条两相爱个对他的这两方就是圣殿骑士团跟我们阿萨星啊刺客的兄弟。嗯，那我们就看看历史中间他们到底实际上是怎么一回事。对，那我们首先想到圣殿骑士团啊， templer temples 或者叫 nice of tetemple。, Start Time: 715780
Text: 就他们这些 nice nice temples，他有好多好多不同的名字。但是就是说这个骑士团无非无疑，就是最近几年，尤其是我印象中应该是那个丹布朗达芬奇密码以后，就是慢慢的就是被现代流行文学，就是慢慢的就是变多。对，开始用的这个引用他这个组织，因为这个组织确实是一个很传奇的一个组织，, Start Time: 735350
Text: 而且又有一些我们想象中间中世纪那种浪漫的情怀。对，但其实是历史上呢，他们最早是一群穷人啊，就原本他们叫基督和所罗门圣殿的贫苦骑士团来叫贫苦骑士团。对，也就是都是丐帮那样，每人的手里拿着打狗棒。对，其实没有以前前没有那么闪闪亮盔盔甲，高昂的战马，没有没有那么夸章。, Start Time: 759910
Text: 他最早他是建立在十一世纪末耶路撒冷的圣圣山上面的那这个圣殿山是一个很有意思的地方的圣殿山。比如说你想想啊，就是圣殿骑士团他的 temples temple。我们知道英文中 tetemple 这个词就是一般来显示神庙，或者庙语，或者讲佛教，或者讲其他教。而基督教的一般会叫 chachaple 啊，, Start Time: 781440
Text: 小点叫 chapel，拜拜。前中型就就是尔尔般的圣圣堂，一点就就基州大大教堂。对，但是很少基本上不会用 catemple 这样一个词。 temple 就是很多印度教啊或者佛教用 temple 所所以这其其就就是他并不是这个圣殿山，或者说这个个圣圣骑团它得名。, Start Time: 802680
Text: 就是因为这个圣殿，这个圣殿不是基督教的圣殿，而是犹太教的圣殿。也就是说在基督耶稣是出生前这个犹耶路撒冷的，这个是是一是犹太人。我们知道犹圣地以前古以色列国，他的那个首都，他他之前那个是他那边呢，就是我们知道犹太旧约传说中就有很多犹太人的英雄事迹啊，比如说呃智慧的所罗门王，, Start Time: 820720
Text: 还有那个就是用石头杀掉歌利亚的那个小孩大卫大大王。所以那个时代就是那个时候是犹太太教，犹太教呢他们这个就犹太教，他们在这边建了一座就是当时就是在传奇的这个这个犹太犹太王所罗门，他当时当时他就在这里建，就在这座山上建筑了，他建建立他的圣殿，就是这个圣殿。怎么说呢？, Start Time: 844810
Text: 嗯，现在来说就是说他们旧约或者他们本来的先知告诉他们，犹太民族可能要建立建立可能要重复的建立这个圣殿。这个圣殿建立之后可能会被毁掉，嗯，之后要重建之后再重重新建立。也就是之前呢这个这座山上面出现过两个圣殿，历史上，就是后来现在当然现在上面已经是一个清真寺了，, Start Time: 870815
Text: 已经什么都不存在了。所以以色列呢他有一个这个极端民族组织，他他要建立他就叫第三圣殿。嗯，因为他要建立这座第三圣殿圣殿。对对对，但是耶路撒冷你也知道就是他的民族构成比较复杂。就虽然在以色列控制之下，他有很多犹太人啊，还有很多呃阿拉伯人啊，他有很多基督基督徒。, Start Time: 893920
Text: 对他他那个环境很复杂，所以你在这边大家都在抢这个对抢这块地盘他们宗教当中的圣地。对，所以说他就是所以大家会觉得就是所以第三圣殿其实有的时候被被人就认为是恐怖组织，嗯，他非常非常极端。所以就是就是因为它是有一个这样一个第三圣殿有这样一个概念存在的那而且这座这座山也很重重要，, Start Time: 913800
Text: 也是这个伊斯兰教的先知穆罕默德，当时他就是叫夜行灯消之地。就这对于包括伊斯兰教来讲，其实也是一个非常有意义非常重要的地方。那然后犹太人，然后伊斯兰教对穆穆斯林就对于这阿拉伯世界的人。对对，然后那现在这个圣殿骑士团这个基督徒又来来参了一脚，所以这个地方其实是非常一个非常有意思的一个地方。, Start Time: 938380
Text: 然后呢，这个所罗门圣殿为什么他很神秘呢？是因为传说所罗门圣殿中间装了一个约柜。什么叫约约柜？约柜其包括相约出柜，相约出轨还行。不是不是不是，就是那个当时呃，我们呃呃迪士尼有个动画片叫埃及王子啊，大家如果对这段故事感兴趣，是可以看一下这个埃及王子，就是当时就是摩西嘛，, Start Time: 960780
Text: 摩西他带着他的族人。因为当时在埃及，特别就是当时可能因为政治一些政治上的纠纷，而且就是因为当时犹太人当时住在埃及的时候，受到当地法老啊这些贵族阶段的压迫，所以他们他们决定他们呃，摩西有一天在山洞里面看到了一颗一根燃烧的树枝。然后这个这个这个燃烧树枝其实就是耶和华，, Start Time: 984820
Text: 就是上帝。他当当时告诉他们，就是他们最终命运是要离开埃及分开红海去他的那个应许之地。嗯，那 tetepromise land 就是这应许之地，就就是就是我们现在现在这个这个死海附近，也就是就是应该是耶路撒冷这一块。然后然后他们当时他就带着他族枝就走出了，就就分开了。, Start Time: 1005440
Text: 红海走出，离开了埃及。当时上帝就就是当帝给他颁布了十界，而且这石戒呢当时是应该是用希伯莱文刻在一个一一块石块上刻上摩西的雕像，就抱着那个石板对石板。对他当时摩西从山里出来，向他族人宣宣读。这个石界。就是就是所以这个石界为什么重要呢？想一下世界就可能是我们现在为止呃，, Start Time: 1024960
Text: 唯一知道的。如果上帝存在的话，上帝在世间留下的唯一的唯一的迹文迹，一个痕迹在那边。所以他可以可以下他有多重要。而且他这就存存在一个约柜里头，这个约柜具体长什么样子呢？大家可以呃可以看一下那个电影，就印第安纳琼斯。他那个就就是有一个圣圣，他他有是第一第一部吧，, Start Time: 1050310
Text: 是讲圣圣就约柜的故事吧，就是他们就是跟纳粹在争夺约柜好像是这样。但是就是说那个那个约柜就是上头好像是有两个天使，然后在顶顶盖上边。然后就是说嗯就是说你如果就是擅自去去打开这个约柜的话，会被直接被雷击毙。就是说所以很多科学家后来复原这个约柜的时候，就是觉得那个两个天使之间应该会有一个二级管之类的这个东西和一个导电器之类东西会发发出一些强电流之类的这是当然这是后人推测，, Start Time: 1071470
Text: 大家也具体不知道这个约柜现在在什么地方，反正历史上它就失落了，他就不在了。那么约柜里面是否真的只有石界，或者说你看到这个上帝在世界留下证据之后，你会不会有一些神圣的的事。嗯，大家也是不知道的。那么那么这个这个圣殿奇士团，他们当时挑了要建总部，就在这圣剑山上面。, Start Time: 1103660
Text: 而且就是在这个啊以前的所罗门的这个圣殿的遗址之上的。嗯，所以这就非常蹊跷拥有了约柜是吗？对他们到底他们为什么要选偏偏要选那块地方，有什么蹊跷？那么啊这个而且这个这个石界到底其实石界本质上就这块石板或者约柜这个东西特别有点像啊日本的这个三神器，就日本天皇，像日本天皇皇泉泉神器，, Start Time: 1123200
Text: 也就是天丛云剑对八尺镜和八尺穷沟域嘛。这这三个神器，据说 KOF 里面著名的那个草地和八神拥有的那对那两个来源。对对对，然后这三个神器呢据说是藏在一世神宫之类这样的地方，但是没人知道嗯他们到底是否存在。对啊，当时就是当时我刚看到一条新闻，就二零一四四三三月的时候，, Start Time: 1146310
Text: 当时天皇天皇皇夫妇当时他们去造访一世神，而而随行人员的确带了两个两个大的箱子里头。至于装的是什么，有人说它里头装的就是领了八尺镜和八尺穷沟玉这两个神器。对，但是现在为止也没人见过这三座没有人就是实体什么样没见过。对，其实没有人没有公开记载，没有照片。现在我们网上看到只是一个想象的图而已。, Start Time: 1166990
Text: 那那这个这个世念骑士团，他所有传说遗陵的起源呢，就在于当时他们那个时候的世剑山上面应该是一个清真寺，上面可能就只有清真寺。当时他们总的还没有建立当当时那几个创始人呢，他们在这个清真寺里足足待了七天，从来没有就没有出来。至于那七天到底到底干了什么历史，只是记载到他们某年某月某日进入那个地方。, Start Time: 1191510
Text: 然后下一段历史就是某年某月某日，就是一个一周后他们出来了。嗯，但至于他们中间带了什么，他们后来他们就就之他他们做了什么，没人人知道知道。后来他们总是建议了这个圣骑骑士，然后后呢他们慢慢他们势业越来越大，慢慢的清真是不是应该是嗯穆斯林对寺庙了，所以他们这个因为那个时候十字军东征十字军，, Start Time: 1218180
Text: 为什么东征？就是因为当时他们撒冷，基督督义教教对耶路撒冷，当时就并不是在在基斯徒的手里。当时他就是在那个就是就是穆斯林的手里，所以他们要把圣地给打回来。当然对穆斯林来说，这个耶路撒冷也是他们先知穆罕默德传教了一个非常重要的地点。然后所以当然对犹太人来说，那真更是他们民族本来圣地对他们的圣所所，, Start Time: 1240760
Text: 你就就可以想这这地地方多复杂。所以时时时就是他们这个这些世界骑士团其实是跟着十字军东征一路打过来的。所以那当然他们进入耶路撒日城，他里面当然更多的是清真寺了。对，那就是这个这个，所以他们他们就待在这个就原来那个清真寺里面待了七天，后来就传传各各各样的法，说有人说他们就是在清真寺里面就强行打了一个洞，, Start Time: 1263180
Text: 往外下挖。哇哇哇哇，一直挖到那个圣殿里面，发现了约柜，这是其中的一个说法。也就是说后来他们找到了世界，对他们找到了这个世界。所以说他们凭借着约柜的神力，后来之后呢，他们的力量非常强大。其实是圣剑骑士团。他很多时候他参加军事行动的时候，人数不多，嗯，他们可能就那么二三十个人，, Start Time: 1287430
Text: 顶多就一两百个人，他们但是他们全都可以正面正面冲击。对对，是非常精英单位，所以是英雄单位。所以说所以说当时他们军事上非常非常勇猛，而且他们我们之前在呃刺客信条吃剑节目也说了，他们当时也是比较早的一个银行业的这样一个对这个很有钱创始者就就特别有财富。所以说所以说大家都是觉得他们从一群这个拿着打狗棒的这样一个九代弟子什么的，, Start Time: 1306050
Text: 就慢慢就变成大富大贵。这样都是觉得就是觉得这中间可能是他们掌握了什么秘密的知识。那那当然后来我们的历史就知知道他他们时就在这个个胜地们们，这在耶鲁塞勒，然后参加很多次，就是十字军东征和十字军一起，就是跟跟周围的这些穆斯林对抗。然后后来呢一路他们这个耶路撒冷陷落之后呢，, Start Time: 1331970
Text: 他们又一路败退退到塞浦路斯。退到塞浦路斯之后，他们后来又基本上海外土地军事粮计要全军覆没，但是他们后来很多人都回到了法国，然后但是他们这个军事已经不像以前那个样时已经很嬴弱了的。对对对，然后在法国这个就是革革命这游游戏的续章。对对对对，一直到雅克德莫来，我们扎德莫莱德莫勒呃，, Start Time: 1354940
Text: 被烧死。对对，被烧死。一三零七年十月十三日，星期五，黑色星期五啊，这是他被逮捕，还不是他被烧死，使他被逮捕当天吧。是对，是那一天，就是圣剑骑士团全部被逮捕。那天还不他不是那天烧死的，应该就是游戏里续章那一天吧，就就是续章一天天。对，那这就是黑色星期五，那基本上圣剑骑士团，, Start Time: 1375800
Text: 我们历史上历史上也就是那个时期，其实圣剑骑士团就已经被打散了。对，而且应该是就是不太可能继续存在了，或者说就算存在，它也应该已经不再是以前的那个圣剑骑士，但它存在了很长时间吧。它存在了几百年啊，他从建立到摧毁，基本上是两个世纪吧，两百年。对，就两两百年，就是也没有，, Start Time: 1395210
Text: 也不算特别久。对对，那这个那个圣剑骑士团基本上他的阵史里面记载就是这个样子。那另外一个教派的正式阿萨星，阿萨星这个阵势特别有趣，比圣剑骑士团有有趣多了。圣剑骑士团那历史很还挺严肃的，哈萨星很有意思，他他原文他的那个阿拉伯，他的发音应该更像是哈萨星，哈萨星就是有点这个样子。, Start Time: 1419659
Text: 然后这个呢所以那个我记得丹布朗他最早他讲他那部一本小说叫天使与魔鬼，嗯，是讲另外一个神秘组织叫光照派的。当然这个他里面那个反派那个杀手就是一个阿拉伯人，然后他就是说他就是隶属于那个神令哈萨星教教，而且他翻译叫黑煞星。对，其实这个翻译也是差不多。对对对，就是哈萨星。, Start Time: 1442340
Text: 对，然后这这个这个中文中文以前史籍里面其实也有记载中文史籍里面叫他们穆纳伊，或者说穆罗伊或者木乃西，然后不知道为是怎么音译的。但是他这个原意阿拉伯文的原意是什么呢？就是用西西用哈希士的人哈，希士是什么东西呢？哈希士就就是一种印度大麻里面提炼出来的一种就是致幻剂。, Start Time: 1463720
Text: 凡腐纯的一种毒品，对，有非常高的一种黑非常高的大麻素，大麻大麻麻大麻素。对，然后这这个而且可以置换。对，可以置换，而且特别有意思，他就到山下去抓这些年轻人把他抓上来，然后喂他们们嗑药药药，然然后然后就就让他们们就是这个美女女样陪着他们。然后就是就是元朝，元朝有个人叫刘裕啊，, Start Time: 1486970
Text: 当时他就跟着蒙古西征大军一直到了这个中东，当时他就记载记载说说什么呢？纵其欲数日复制，故处祭醒，问其所见，招之能刺客死则享福如死。嗯，就是什么意思呢？就是呢他后他迷迷晕了，然后把他带到就是让他晕晕乎乎的。然后后他山上就是有很多美女啊，酒食肉灵的陪伴。然后呢，, Start Time: 1508550
Text: 他又退过去之后呢，又把他给抬到原来，就是把他就是为就把他迷倒的地方，然后呢，让让他醒过来醒过来问他说你是不是做了个梦。他说对我梦见有好多美女啊什么的，嗯，然后说说你你如果想回到这样一个天堂，那么那个那个你就要学我这个技能成为刺客，成为刺客，然后之后你就可以进入这个天堂。, Start Time: 1530910
Text: 嗯，然后然后他游戏里竟然没有表现这个那个是吗？对对，如果表现这个那可能就不年，这个可能就是龙世世界可能就是就是就是那个猎魔人。对对，然后这个啊就是所以说所以说这个简直这个简直比萨德侯爵还前卫。对对，仅不仅 SM，还还纵欲。对对，还还用这个这个嗑药嗑药。对，, Start Time: 1549360
Text: 还挺前卫的，而且比他早还五百年。这个所以你突然想起啊，就是这个刺客信条，他经常说的那句话，他们们一句格就就是那 is 可对 everythin's mmit 就是说就什什么是真的。对对对，还世皆皆阴允，就是就是 SU。他当时就老是会说这句话嘛。对对，突然想起可能 nothing is 就就是因为他们嗑了药。, Start Time: 1571060
Text: 对，所以这是我理解。然后包括马可波罗，他书中也提到这个有一就是有哈沙性，这这群人就特别擅长于刺杀。对，所以可以看到，就从中期的典籍，就阿拉伯的典籍中间你都可以看到，这个组织确实存在过，而且非常有可能的确是嗑了药去刺杀的那种。对，所以呢也算是这个恐怖组织算是很早期的恐怖组织。, Start Time: 1593550
Text: 那么呃这个他其实是在第一次十字军东征前，就是就那个时候十字军还没有东征。那个时候他一零八零年成立的，然后他但是他也差不多，也灭亡时间，跟世剑骑士团也差不了多远，也是叫两百年。对对，也是两百年一，他大十三十三世纪就一二五六年，当时而且是在就是死在蒙古人手里了。, Start Time: 1616350
Text: 嗯，对这个这个他这个组织创建者叫做哈桑哈古伊萨巴，就是就是对这这个这个新金庸金庸就在他小说中，这就是金庸。那个倚天屠龙记里面那个山中老人霍山嗯，说的其实就是他对，就是这个哈萨逊组织的这个就是创立者，创立者对对创立者 founder。对对对， founder 对他这个但是这个哈萨信啊，, Start Time: 1637870
Text: 这叫哈哈桑这个哈桑伊萨巴的这个这这这位这位老志这个他当中老人，山中老人，但其实他并不只有历史上并不只有他一个人被称为山中老人。哦，对，然后那那我们后我们先先撇下这个，不讲他这个大本营。他最早大本营设在这个叫阿阿勒莫特堡。阿勒莫特堡呢，他其实他是的确他是距这个伊朗首都德黑兰有一百公里左右。, Start Time: 1665000
Text: 对，然后他是一在一座海拔三千米左右的高山上，这就是刺客信条。一里边你自己的本营的那个山，自己本营山好像应该是马西亚吧，应该是我们下面要讲到的这个哦，对，但是他的确他这个这个这这个叫这个这个城堡叫阿勒莫特。在这个在波斯域的意思就是鹰朝。嗯，所以记得就信仰之月的时候，, Start Time: 1688160
Text: 你会有一些音效嘛。对对对对，这个应该是有历史渊源跟这个有关系。对，而且很有意思。但我怎么记得一代他的那个大本部就是跟英有关系啊，叫英嗯，这我还真没有仔细去查。对，但有可能有可能，但是就是说灭掉他的很有意思。工匠是城堡的人，是我们唐朝中国唐朝名将郭子仪的后人叫郭凯。, Start Time: 1710080
Text: 对，所以这个历史就很有意思了，跟中国扯上关系了，跟中国又扯上关系了。对，但是另外还有一个我们说不是还有一个叫山中老人嘛，西方说的山中老人其实是另外一个呃那个首领，他是一个叙利亚支部的。因为我们说前面一个在伊朗嘛，在波斯那个地方叙叙利亚部这边边，还有一个叫做西德丁西呃，, Start Time: 1731930
Text: 西德丁西南。对，他是西方中间称为 the old man of the mountain。就是他是就叙亚中老人对这个这个他他的据点就是亚夫西亚夫，西亚夫就是麦麦西亚夫。这西亚夫。这个这个地方其实是我记得没错的话呢，应该是我们呃呃刺客信条二启示录那个那个大的资料片中间嗯，, Start Time: 1753450
Text: 就是我们那个那个阿阿阿泰业。对，二大爷。对对，二大爷，他最泰尔，他阿泰尔，他最后他那个他他当时他在的据点应该是马西亚。哦，对，应该是这座城堡，这座城堡现在还存在。然后而且因为因为刺客信条，游客人数就现在现在涨得很厉害是吗？对对对，然后刺客信条其实说主要一说的应该是这叙利亚这样这一支，, Start Time: 1777100
Text: 而且这个组织是非常激进的，他什么人都得罪他，就十字军将领，他也刺杀他。连那个这个穆斯林这个这个这个这自己人，他也刺杀对他现所所谓自己人，就是在穆斯林人互相确实，也也也各种看各种教派。对，然后他也他也想刺杀萨拉丁，你知道吗？啊，对，他也想刺杀过萨拉丁，然后这个甚甚至他那个什么他当时蒙蒙古西征的时候，, Start Time: 1801360
Text: 他还派人去刺杀这个蒙古大汗蒙哥。嗯，对，所以所以说你可以看出这个这个组织基本上就是一个肯定想被人围殴的这样一个一个组织。那他们这种算是一个宗教组织吗？算是他们是的确是一个一个具体一个教派，他们是是逊拟派吗？我具体忘了是具体是哪个派，但他是为了自己的宗教信仰而服务的吗？, Start Time: 1823440
Text: 还是不仅是宗教信仰，还有政治利用，不政治利益，有政治利益在就是他们当时也一呃穆斯林中内有很多的政治派系。他们当时派对对对对，就就是最早这个这个哈萨吸引，就是大家就是他们臭名昭著，就是他们会经常派就是刺客去解决他们的政敌，去达到他们的目的。嗯，对，所以还是为宗教体系、, Start Time: 1844520
Text: 政治政宗教和政治政治服务的。对对对，所以基本上这是这两个组织在历史上的真实的对面目是这个样子的那这个那我们游戏自然就开始脑洞大开了。那我们就可以讲游戏，游戏其实比呃真的看起来比这个历史要过硬很多。对对，因为是大阴谋论，对那个阴谋论真的是太大了。那这个训练其实我们首先先讲讲啊这个游戏中间我们现在从现在开始讲的全是扯淡，, Start Time: 1865500
Text: 全是全是扯淡啊，不是史实，不是史实，别别信了，别给你们语文老师说实不是这样的，不然你会罚被罚写作业，对对吧？好吧，这个我们现在讲的就是说它游戏中间历史就是圣殿骑士跟刺客，这个这个算是万年情仇了，都不是百年情仇了。那个游呃其实呢游戏中间圣殿骑士团，他在十字军东征前就已经存在了。, Start Time: 1895520
Text: 就就怎么说呢？就可以理解他。其实一直这些圣剑骑士，他就一直潜藏在历史的深处，他们就是从来没有露过脸，他们也没有从来浮出水面，一直是地下党。他直到他是我们现在我们历史上看到圣圣剑骑士团创立其并并不是他们之前极有圣剑骑士团后来才有，而是并并不是从无到有，而是他们只是从一个地下浮出水面而已。, Start Time: 1919050
