Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27690
Text: 最后其实是被这个尼嗯尼布加德帝国已经统一了。嗯嗯，而且这个这个就是剧情应该是到呃到杰洛特的这这个主线故事结束的，已经已经很久了，已已经很久了，好几百年了。然后然后是由这些就是尼布加德的的那些学者呀，然后他们就通过通过一些那些呃文件呢，然后写的一些书啊，然然后是把这个这个这这个整个就就是整个故事的那个时间传下来的。, Start Time: 387220
Text: 嗯嗯，所以这些时间段呢基本上就是在那些就是小说内容之前，他有的时候会有一些就是类似于就是出生时间啊，对影文呢对文件的摘抄啊这，然后很很多时间是从是从这里头推算出来的。对的，所其中有一些人物的，就就是他的出生时那个出生时间是能是能确定的嘛。像比如说耶尼弗啊，, Start Time: 416110
Text: 嗯但是很多人的话呃，他他的那个那个出生日期是是没法推定的，你们是节奏哦。嗯，但他这个大陆由来其实也没有特别多的提及，等于是在小说里面他没有一个一个准确的说法，嗯，嗯，甚至连这个世界它是一个球体的呃，还是经念，还是一个平面。现现在也是一一也是是一个未知数。嗯，, Start Time: 438550
Text: 哦那我们在这个有一些就是重要的事件和概念，我觉得可以介绍一下。因为我们在三代开场的时候的那个动画，其实就介绍了什么这个魔法和这个天球球球会这个东西。嗯，对，这个天球交汇应该算是就是猎墓人世界里头一个最大的一个实件。而且就是因为天球交汇之后，所以就是就是这块大陆上开始出现了呃很多种族。, Start Time: 465340
Text: 嗯，因为在这个天球交汇之前，就是已知的这这个大陆上的生物，就就是属于那种智慧生物，只只有侏儒、侏儒。然后正是经过天球交会了之后，然后天球交会的几百年年以嗯就是几百年过后，然后精灵乘乘着白船，然后登陆到了这这块大陆上，然后精灵精灵来了来了的。嗯，来的时候，然后才发现这就是这这块大陆上除了精灵之外，, Start Time: 491740
Text: 呃，就是在精灵之前还有侏儒和和矮人，对精灵侏儒矮人就被称为三大上古种族嘛。嗯，那个那个这个这个呃游戏里头好像也提到了吧，游戏里叫地精。它这个尤其是记得翻译成地精是好像是叫地精。对，因为侏儒翻译成地精。对，因为因为我记得在台，比如说台版的那个魔兽世界里头，那个大陆翻成侏儒，, Start Time: 519140
Text: 那种种族也叫地精，而就是我们叫地精，那种族被它翻译成哥布林，所以这可能是繁体中文的一个翻有固翻译的固定的翻法。对对对，所以它上古种族其实只有三个。对，这三个是不是就叫做就是叫什么 ancient race，是不是就是 old 的 race 的 alrace？, Start Time: 542940
Text: 对，也不是 ail 的 race，是那个个就是那个单词，主要是是代表精灵的，而且它代表的是那些就是来就是穿越到了这个世界的那那个精灵，所以就是它也定了好几种。所以我们确定的是精灵是来自于异世界的，是吗？对，它是有很多那个位面，世界那种，它应该是就是很多那个它不是一个那种呃，, Start Time: 559840
Text: 就有点像 DND 那种很多位面重叠的是那种，然后他们天还自其他的位面嗯 OK，然后世界发生了一次交融，结果就把各种的不同种族带带到这个世界上，是吗？对哦，关于精灵，包括人类应该也是就是天珠交汇之后，然后才才在这这这大陆上上出现的。嗯嗯，但人类是最最新到达这个世界的智慧种族吧，, Start Time: 582910
Text: 是不是嗯嗯什么意思？就是说人类种人类是否是是是是最年轻的，就到这个大陆上的种族，呃，应该说是在智慧生物里面可以算做最年轻的吧。但是它有一个你不能确定的是因为那个大陆的那个海岸的那个那一面有没有别的大陆，这个是你为没有交代。所以你你不能说那个人类是就是从哪个地方走来，, Start Time: 608820
Text: 它有可能就是在另外一个就是外一块大陆上。在另外大陆，比如说隔着一个太平洋之类的，就是另外一个。对，但是大陆历史记载，人类第一次出现是怎么样一个情况呢？人类出现的第一次情况，这个是就是出现在巫师的那一个传说里面。因为就是呃就是当时那个呃巫师会的有一个成员，就是属于首脑人物吧，, Start Time: 634880
Text: 叫呃威格福特兹。然后他想把那个这个这个杰尔洛特给给招募进他的阵营里头，然后就是曾经带着他到一个走廊里头，嗯，就就就看着很多 PPT 了。嗯，是很多 PPTT，就是壁画壁画壁画有很多壁画。嗯嗯，然后其中一一话就是描述述，就是说人就就是是记载人是说人类第一次登陆到到这这个大陆是一个是一个什么情况？, Start Time: 661640
Text: 当时当时登陆的呃，就是这个一些巫师带领的，就是当时那个巫师应录到叫是叫叫战贝克尔吧。嗯，然后他带着很多人是，然后第一次登录到到这这这这个大陆上。嗯，而就是由于他的登陆上，然后使得就是就是可以说人类的魔法，然然后然后开始第一次显现出来，嗯，就是因为那个人是是是用魔法平息了，, Start Time: 689240
Text: 风浪了。嗯，但是这个也是传说的的某一个版本，然后那个那个杰洛特他是他自己是不太相信进这个版本的。嗯嗯嗯，其那杰洛特自己杰洛特自己有什么什么看法吗？他觉得他觉得其其他就是没什么看法，他杰任何这种事情都是不相信的，就是这个神的这种他杰洛特是一个就是有点有点怀疑论，, Start Time: 716320
Text: 不可知论，不可知论是吧？对，而且呃在稍微差一句就是是就是刚才周运奇介绍的那个巫师是真的巫师，不是那个杰洛特，那个就是术士，就是我们就我我们杰，我们我们在节目里面要澄清一个啊，就是我们所说的那个巫师，全部都是巫或者妹 ge 和 salcces 对， mage 或 sources。, Start Time: 740070
Text: 对，但我们但我们管杰洛特统称为猎魔人，对我们在这面把职职叫教练，对，不然大家大家会就会区分开了啊。对，那么这个就是在这个大陆上面啊，我们现在说到的这些种族，他们之间都有什么特色呢？就是如果就是感觉上跟我们就是已知的那些奇幻小说里面所塑造那些种族，好像有时候有天壤之别，, Start Time: 764250
Text: 有天壤之别，还是有比较相似的地方。嗯，总体来说应该和咱们的认知其实都是比较相似的。嗯，他的那个智慧种族，除了上面说的那个那三大上古种族之外，然后就是人类嗯，然后其他的还有一些，当然比较有一些嗯就是比较有有特色的，像什么那个那个半身人啊，那半精灵啊、变形怪啊等等，, Start Time: 785790
Text: 嗯，也有这些。但是这个半身人其实应该就是土耳其底下的那个霍比特人，霍比特人。对，嗯嗯，实实际上这也就是斑版了一下。嗯，然后精灵半精灵啊这种就是人类和精灵的混血，然后就就被称为半精灵。嗯，然后在这个半精灵基础之上，还有什么四分之一精灵啊等等。哦，对，就是混血的，, Start Time: 806760
Text: 他就有四分之一的那那个那个精灵血统，谁夜夜妮服，夜叉对，夜妮服。嗯，实际上很多很多人都有这个这个精灵血统，这个你包括那个那那个尼布加德帝国，很多人嗯也都认为他们是属于那个黑精灵的后代，所以说他们比较嗜杀嘛这种哦，然后其他的那些那那些主播呃，就是有一个比较很有意思的，, Start Time: 826420
Text: 就是变形怪这个这个小说里头提到，然后游戏里呢比里头也提到也提到了。对对，那个小说那个情节我记得就就特别搞笑，就是他会反正变成各种各样的人，然后洛克 er 对，然后他就对那个就会有各种特别搞笑的展开，经常两人站一块，然后特别像那个什么真假美猴王那个。对对，然后游戏里也有这种情节。, Start Time: 850240
Text: 嗯，那个因为咱们打游戏还没有在那个洛克格瑞里面去，就是深入的进行那个任务，应该是就是按那个游戏对话来说的话，应该如果说是深入进行那个游戏的玩儿家的话，然能应该会遇见那个就是那个那个都督嘛，他里面那个游戏里换成变形了，然就杜杜拉克，不么杜拉克就是那个杜甫，就姓杜的杜嗯杜甫的杜，, Start Time: 871040
Text: 然后杜杜。然后但是那个我们那个小说里面叫嘟嘟，就是那个翻的那个人，就是口字旁一个都都的嘟嘟嘟。哎，对对对，嗯，这个人应该因为那个游戏里面提到了嗯，就是杰罗的第一次进那个洛维德语的时候，他看到人被烧死，他就认为是淘宝，就是那个人被烧死了。对，所以应该在因为嗯因为咱们没有就是机械人任务没有做那么多知道。, Start Time: 894940
Text: 但是应该在那个游戏里面会遇到这个对游戏当中有嘟嘟这个角色。他是他是一个变形怪，然后但是他变成了一个半身人的那么一个形象。是对，而且且括括他变形怪的名字特别搞，特别有意思。英文版用的叫 dup dueer，但但嘟都 duber。这个东西好像是一个德语词儿，然后他意思就是英文的 double 就是哦复制那种对，, Start Time: 919650
Text: 复制那个。所以以当时当时我那在编这个书百科的时候，当时当时也是疯了，我都不知道这个词儿。我查了半天就查了一大堆德语网站后，然后来发现我居然是德语哦，原来是不斯。对，嗯，然后那是不是还有那个还有那个灵精啊，就是那个树林精就是呃树精树精。对对对，嗯，树精也是一个很有意思的种族了。, Start Time: 941410
Text: 这这唉对了，树精应该应该算是就是林物人世界里头比较独特的那么一个嗯，就是不跟其他的那些那个神话当然有交融，但是也有区别，就是嗯嗯灵精的主要特点就是所有这个灵精全是妹子。对，嗯，全是女孩，没有男的。嗯，而他们繁衍后代的方式就是把男性的人类或者是精灵抓走的配种，, Start Time: 963390
Text: 然后生下来头当然也都是女孩儿，这些女孩就是就是啊就是都是那那种抓种种是后有的时候对，有的时候他们也会把那些人类的女孩，然后然后抢到那个森林里头，然后不想长大。嗯嗯，包括希瑞嗯，就是希瑞跟那个那个杰洛特第一次见面的时候，就是因为那个就是其瑞在这个森林里里头里都走丢了。, Start Time: 985150
Text: 嗯，如果不是杰洛特出现的话，他他下一次如如果再出现的话，她基本上她也变成一个数据了。所所以我记得他游戏当中提到过，说 siri 当时喝过就是让人类转变成邻近的那个遗忘之水啊，说但是 siri 喝了之后并没有任何反应。对那个小说的那个宿命之鉴，就第二卷里面就有情情。, Start Time: 1008490
Text: 对，让他喝了。然后他喝了之后，那个杰洛特认为那个就是假的，然后自己也去喝，结果一喝就喝了。对了，就杰洛克，但杰洛克克是是是个汉子，汉子喝这个东西应该没有用没有用。我觉得对他是这样的，因为那个他要喝之前呢，那个那个他就他就反对让那个树精让金，让那个希瑞成为树精了。, Start Time: 1030780
Text: 嗯，然后然后看到希瑞喝了，没事儿，他就认为是别人放了希瑞一嘛啊就做了熟了，就很陈情的样子。然后他本来都愤世技术，这样相信他也不相信的。然后他也就觉得这也没什么可怕的，他自己就是杰洛一喝就喝出毛病的，具体喝出什么毛病。所以看小说啊，比如说什么臀围增大了之类的这种没准他都不至于吃药了。, Start Time: 1055720
Text: 就说对这个东西的效果是容易上置幻，它是一个毒品，有点类似于毒品那种就是强烈的致幻剂，好像是对，然后这个这个种族其实我们在练那个巫师游戏的一代里面出现过啊。对，我们在树林子里面遇到过一个邻京，是一个女的。对，不知道在三代里还会不会再遇到，反正还有两个特别挺特殊的种族。, Start Time: 1079770
Text: 我想就是问一问一个就是这个高阶吸血鬼，高阶吸血鬼应该是因为嗯在小说后面进行的情节里面，应该会有一个是加入了那个杰洛特的队伍，嗯，应该有呃云吉斯应该是加入了那个杰洛特的队伍，然后他是怎么样？那个嗯有一点就是那个游戏刚才说到就是一代出来的时候，杰洛特就是失忆了嘛，, Start Time: 1103430
Text: 就一个人嘛就有什么哎，这一代有点同伴的，就是以前同伴也个只有特里斯一个。其实在小说里面就是杰洛特从第二嗯那个大概第四卷开始，就是有很大一个队伍，就是有一个同伴队伍冒险实那个有高级吸血鬼的那个雷吉斯，就是他的那个同伴之一。那个那个瑞吉斯呢，就是是那个小说里面给那个人物设定的，, Start Time: 1128030
Text: 就是好像一个呃很可爱的一个大叔，嗯，就是惨死是也不知道也不这么大，叫大叔就叫做一个就是稍微年纪比较大的大哥哥已经活了好几百年，对他活了上千年就活了。非常嗯就有有点像那个他的设计的有点像那个什么呢，他那个面放吸血鬼里面那个汤姆克鲁斯那个啊是活了非常久。然后嗯经历过很多的那个那个一个人，, Start Time: 1153150
Text: 但是呢他因为对生活有点厌倦，有点厌倦。曾经那个最厌倦的一回呢，他是被别人给那个农民给他自己故意，让农民把他给杀了，砍死了，砍死了呢，都烧了头，人头抛到一个地方，嗯，然后就人头了长了长大了，我可以插一句。就是说那段其实很有意思的是说什么呢？就是就是他死亡的方式是几乎把所有我们以为的就是能杀死吸血鬼的方式全给用上了，, Start Time: 1178410
Text: 但是他那那个心里穿了，但是他给淋个身了了。嗯，你个他他把他的身体烧成灰了，最后只剩一个头了。嗯，对，结果那个头花了一百多年又找回来了，他是花了一百多年，结果他在这一百多年里面，他就想那个他就想了很多嘛，嗯就他就他就决定就是加了头颅，对他就不不再喝人血了。他遇到杰洛特的时候，, Start Time: 1206460
Text: 杰洛特一开始并不知道他是个情人，因为他那个杰洛特又把他已经相当于洗心革面的那个就是大彻大悟，大彻大悟了。就就他是，但是他的实际能力很强，所以在杰洛特的那个队伍里面的战斗力非常强。但是他以就是看着就是一个很和蔼的一个一个大哥，对不对？嗯，所以说是我觉得这猎魔人世界观融合东西很很多，, Start Time: 1233280
Text: 对他对那个什么很多民族的一些就是一些童话都有借鉴以及格林童话被他用的简直是神，神乎其神。他给你了一个原本的黑暗版本，我昨天玩到一任务特别好玩。就是你跟那个梅兹那女术士约会的时候，他跟你说，就是说啊你是不是想想到那个辛德瑞拉就是黑灰姑娘的故事。对，其实那个灰姑娘故事是有被吃了。, Start Time: 1256610
Text: 对，其实他是被一个触手怪吃了，然后吐了一只触晶鞋在岸上。所以王子找不到他对会有这样特别多的这种东西，挺搞笑的。然后他这个种族设定里，不光有人类精灵，还有这些矮人之类的。然后他还有这些什么吸血鬼狼人这种非常规的。对对对，然后还有巨龙之类这种嗯存在，就是基本上咱们能想到的可能好像都在关于奇幻，, Start Time: 1277630
Text: 对对对，都都会有各个不同的民族的神话，中间东西都会有。对，然后但是种族这个最后我还是想问一问啊，嗯就是我们发现这个种类的和精灵好像也是在这个整整个世界体系下面并不受特别尊敬的对不受这待辱。而且他们作为上古种族，却没有感觉到特别有地位。对，这个是为什么呢？这个原因其实呃，, Start Time: 1301550
Text: 是因为他们人数太少，就还说说说比生殖能力不行。对对，那你你生育能力不行，这个曾经有一个矮人就对希瑞说嘛，说是你们人类为什么能够成王？就是因为你们生孩子的这个速度实在太快了。嗯，啊人人类的那个那个寿命是要比这些上恶种族要要会少得多。嗯，但是但是人类很能生，嗯，, Start Time: 1328500
Text: 但且很能杀人。所以是是所所以他们会把这些其他的种族基本上都给赶尽杀绝差不多的。嗯，因为就是在这个小说里头，他是他所有的这些种族其实没有什么好坏，善恶就就是这种问题。嗯，有的人可能就是因为人类屠杀这些精灵上啊，然后就对那个精灵有一些同情啊，实际上精灵对人类的那个那个就是精灵对人类的屠杀也不少。, Start Time: 1353600
Text: 嗯，哪怕是在就是在人类到来之前，这这这个精灵和这个矮人也是经常打架。嗯，哦，他们后来之所以能站嗯就能站到同一战线。因为为就共同同的对人类类现了了，所以他们他们都是就是就是属就是处于劣势的呢，所以他们才才能站到一起。嗯，实际上如果没有人类的话，他们也也是早就不知道不知道打成什么样了。, Start Time: 1379860
Text: 对他对他这个实际上就是他会颠覆那个人。他虽然用的这个形象矮人精灵，就是直接用的就是点最经典的形象。但是他是想写出一种现实的感觉，就像那个英勇比较想写出那种人的那种就是互相争权夺利那种战念。嗯，他是想写出那种真实的感觉，所以他就把这种把这种就是想象就是他现实中其实是不可能这样的。, Start Time: 1404790
Text: 因为大家就像嗯就是所以打个一般的比方，就像以前的白人和黑人一样，他他是会有很多那种就是问题偏见很多偏见就像一个国家，另一个国家一样，他会有很多很多偏见。嗯，他会把这种偏见，就是你给放大就变成这种。然后在不同民族的神话呃传说里面，就自己民族永远高大上，其他民族永远是卑微矮小。, Start Time: 1428690
Text: 嗯，卑鄙的对呃，都是这样。嗯，对，那刚才我们之前说了，人类如此繁盛啊，到现在这个时间点的时候，嗯，那他这个南北方王国的这个局势又是怎么一回事儿呢？这个小说里面应该是那个西欧，就是他那个大陆里面北方是有很多个国家，北方的那个那个个历该是就是那个作家。欧洲很从它的历史书上，, Start Time: 1450840
Text: 就是他的历史书上就是比较熟悉的那种东欧，就是那个中世纪的时候，那种那种局面，对那种局面那种局面的话，比那个西欧呃可能更为那个复杂杂一点，在东欧复杂。因为因为因为东欧的这个这种封号，因为它是属于就是就是我说的那个历史上啊，东欧他的那个南面有那个拜占庭，然后然后东面呢有西面呢有神圣罗马帝国，, Start Time: 1477650
Text: 嗯，然后同时还面临着那个就像游牧民族的，就那个他跟那个西欧的那种相对稳定的那种那种英国式的那个的还有点不一样。嗯，他的那种各种王公王侯特别错综复杂的。他比如说一个人同时是这里的公爵，又是那里的国王，又是一本族的伯爵。就是这种非常复杂的，而且有一些那个头衔的呃，, Start Time: 1509230
Text: 在翻音当中还是就没有完全保留那种就是东欧的。有些那些比如说他各种各样的市长，镇长啊，或者说是有一些就是现在已经不好翻译的图层不特别多，所以以它实际上是比较复杂的。那个比我们那个打个比方说，就是说比冰与火之歌那种封建结构要更复杂一点。嗯嗯，那种那种割据的这个结构哦，, Start Time: 1533170
Text: 它这个是照着这个原形来的。然后它南方的这个黎弗嘉德帝国呢是一个非常强大的一个国家。实际上在那个小说就是包括小说和和那个进行的时候呢，他已经吞并了很多，就是他一路从南方吞并过来，然后他的那个形的更多多的是，但是它不是一对一的，是参考。就像呃罗马帝国唉，罗马，, Start Time: 1555830
Text: 但是它是是那个那个古典的罗马帝国，有点像那个呃拜拜个帝帝国那种，就是呃相对帝国东罗罗哎，东罗马帝国哎，东罗马帝国那种去的。然后他从南边一路，他因为是既然刚才就说那个预言，他最终他会统一这个这个这个国家，所以这个统一这这个这一片大陆嘛统一这片大陆。所以他呃这是一个就是说已经就是因为列某人的很多的那个故事呢什么的。, Start Time: 1578150
Text: 是他是在小说里面通过那个几百年之后那个史学家的回忆这样道着这样写的。所以他们以后呢，实际上尼夫家就已经把这个北方诸葛给占了。嗯嗯，好，然后在小说当中呢，他就是呃跟那个北方产生了历次的这个冲突。可以看到那个最先那个新瑞是那个狼呃，北方诸葛里面相对靠南的那辛特拉的那个封主。, Start Time: 1607690
Text: 嗯，然后呢，辛特拉呢就被被那个尼夫家的直接占领，然后等于被屠杀了。就是整个整个因为他拒不投降嘛，整个都被屠杀了。然后后来在一个战役里面，那锁登山的战役里面打败尼夫加德。然后呢，在小说里面呢，很快又再次入侵那个那个再次入侵那个呃那个北方诸国第二次尼夫加德北京战争。, Start Time: 1631150
Text: 对，而且那个那个尼夫加德的那个第二次那个战争几乎就贯穿的那个就是小说，后面的始终一直都是尼夫嘉德，军队在在跟他们打，就是就就就打了很久，嗯，然后最后被打败。其中，杰洛特呢在中间发挥了很大的作用，就是能够打败这个尼夫嘉德。然后在这个游戏里面了，你看他没过几年，, Start Time: 1658640
Text: 那游戏当然是自己就是那个创作者，嗯，又让猎夫加德再次进攻。就是那个你看那个猎魔人三的那个游戏里面，一出来都已经都打到那个你看猎猎魔人二结结尾，他又不就是一个 c 机嘛，就是就是一个年度版的，好像是加强版，有个 c 机，就是一个农民在这地突突然地开始震，然后一大堆一大跳，, Start Time: 1681650
Text: 尼夫加的一的黑压压趴，他就骑开过来了，嗯，穿着黑甲骑骑士。对嗯，因为那个里夫加德一出来第二卷，他都已经打到那个泰莫里亚的首都，就是美兹伊嘛。对对，维基马里面去了，然后都已经到了。唉，那个地图上呢，他北方两条大河下面一个雅鹿嘉河上面一个庞塔，就是那个个夫加德德那个游戏的第三河里面都已经从下面的雅鹿嘉河都已经跨过来了。, Start Time: 1703130
Text: 大鸭加江第二部的最后的那个结束，就是他跨那条河嘛啊是最后据说是庞塔尔还是还是雅雅绿江湖，应该雅鸭鲁江应该是雅绿。对，然后就是那农民看着河对岸爆炸劲的过来的那个具气气势的磅礴，那个感觉是对所而且二代的那个泰拉就 temororia timoria 对他的那国王也死了嘛。, Start Time: 1734260
Text: 嗯就北方局势全都被嗜王者对对一个一个投。所以北方王国基本上到游戏第三代的时候，也基本上快被打到北边了。嗯，是吧？嗯，所以那个因为因为我是就是稍稍看了一点，那个就是就是三代人的结局，可能很多可可能我知透他只是比要他这个没有剧透，他这个是那个结局。其实他这个结局之一的就是条件之一的话，, Start Time: 1759290
Text: 嗯，就是尼夫嘉德能否统一，就是他结差不多说了，三十六个结局啊嗯是就是有一个结局的变量，就是就是尼夫嘉德能否统一，还是离方能够有谁统一啊，就是他这个就是一个，因为你不叫谁是统一了，就是有可能是尼夫嘉德，就这样就就就这样把那个北方给统一了。有可能是那个不是有个国王的那个拉多韦德嘛。, Start Time: 1786830
Text: 对，那的就是那个拉多韦德把那个北方给统一了了，就把尼夫嘉德给打败了。这个有有很多种那个结局，嗯，所以这个包括还个另外的好像有那个蓝衣卫嘛什么的，然后把北方统一了，好像有一为的靠好好个结局。剧透。对，我只能说是就是觉得他是有这个这个结局。嗯，因为毕竟我没有玩到那个地方，, Start Time: 1810690
Text: 反正就是有各种就是就是结局就是那个那但是尼弗加德进攻这个北方王国，北方猪王国应该是整贯穿整个小说和游戏一个呃一个主要位景。而且历史历史的终点是肯定确定的，就是尼弗加德肯定就是统一了。对嗯，对，但是但是还有一个问题，就是说这个我们游戏和小说好像一直发生在北方啊这个故事，, Start Time: 1831320
Text: 但是从来没有到过南方。尼弗加德帝国跑到南边嘛，小说有到南方吗？基本上没到过，对，基本基本上没到过。对，所以南疆是一完完全没被被这文学作品品游游戏开拓拓的一个一个地方。对对，很少涉及及其个不光光是个就就就是那那个大陆南边，就包括大陆的东边，嗯，大陆东边他不是有有一道蓝山那个就就是蓝山，, Start Time: 1859540
Text: 他给打开了吗？对对，山那边是是是什么样，这个也不知道，也特别清楚，就就是只知道后面那就是也也只是是是在那些就是那呃就是嗯尼弗加德历史学家提到了一些说山那边住着住着呃，另一个种族好像是叫什么哈卡人。嗯，就是说他们也曾经翻过山来打，就就是翻过山来打到过过这边来。, Start Time: 1885320
Text: 嗯，对，是那头什么样也基本道，也不知。对，甚至海外是海外是是什么样西边的那还是这样的那个历史呃，那个奇幻小说其实很喜欢，就是我们可以回忆一下，反正是喜欢一片大陆，在那个右边，就是他们的那个东边帮一个巨大的山脉，把那儿给挡住。然后那边有什么他不知道。其实你如果回忆一下，, Start Time: 1908080
Text: 就是比如说我举一个最最那个的例子，你就看一下那精灵宝钻里面的那个魔界的地图，就是最典型的就是那个中土那个东个一个东边一个大山，说那边大的不得了，然后把它隔开。对，然后那边是什么我也不知道，反正是那个有时候会冒出来一些人人就人类类就是据说就从那个山翻过来来的。, Start Time: 1932970
Text: 对，然后其他的呢，我我也我也不知道。然后那个我们做的其他小说，打个比方说那个前都的黑暗也是这样，就那边一个山，就是那个是国外一个非常就是西方人一个非常那个。因为西方人他住在西方，他的世界永远在西方。对，就是注意看这个世界，它永远是在西方，西方的那边是海，嗯，, Start Time: 1955550
Text: 就是西方的，再往西是海。对，然后东边山边呢就是一个山，嗯，就是这么这么挡高架的，还真是的。嗯嗯，对，这是西方冰与火之歌，冰与火之歌里面，勒索斯大陆好像是不是也是东边也是未知，好像。对，都是这样。你你我们再说一个，比如说呃大家如果看过时间之山，那个地图更非常明显，, Start Time: 1975840
Text: 就是就是一个一个大山挡着，那叫龙之山脉。嗯，整个把那个隔开，那边是沙漠，沙漠那边是中国。然后那个他也不管那个中国是什么，他写的就是丝绸之国嘛，那个叫叫丝嗯嗯，丝绸之之嗯，他就是它都是这样一个地图。你如果说是把这个史诗奇幻地图来，然后可以说七八本里面呃十本里面有七到八本都是一样的设定哈。, Start Time: 1997380
Text: 是这样的，一个地图，都是一个海大陆山，然后那边知道都是这么，然后故事就发生在中间这边平地上。对，都是海与山的彼端，你不知道是什么。对对，反正我们猎魔人当中，这个山叫蓝山，蓝色的蓝。嗯，对， blue mountain，然后整个把这个东边给挡住了。嗯，对，然后西边最远就是 sky，, Start Time: 2021380
Text:  y league 就是那个斯科利奇利斯凯利奇岛。对对对，南边故事它基本上到辛特拉，再往辛特拉远一点的地方，就不是就没有再往对最远的。然后最北就是科维尔和帕文斯嗯这么一个国家，好像那个北方的几个小国。嗯，对，非常非常要对，有点类似于地点的认识啊那对，然后我们在游戏里不是在那个那个那个首都叫什么那个凯什么那个地方，, Start Time: 2044030
