Text: 哎哦哎哎，最新鲜热辣的游戏资讯，你不在会儿等啥呀？最猥琐思密的玩家先生出来给我去打游戏了。难上啊，欢迎收听史上最专业的游戏广播电台，家里有别的买去。 oh no， i will like this my chetty。大家新年快乐，我是主持人西王。大家好，, Start Time: 1390
Text: 因为查我的人都不在，而且少周目。你碰艾迪人感觉是不是就像是那个嗯霸王别姬里面争锋一碰上了张国荣对尘世中的知己。没错，少跟我提升，唐仁亭然且看我，你看边上呢，我最近狂沉迷龙腾世纪，我现在是七十五小时，好像还在一周末，我就舍不得打主线，根本就不想往下玩了。我现在二周末两周末已经九十多个小时了吧，, Start Time: 1120530
Text: 已经你第二周末已经九十多小时，就是那个噩梦难度，然后太难了。那个你觉得难在哪啊？你讲讲这个他难的那个你一周末什么难度啊？普通难度，因为我一周末四十多个小时就痛了，有点丢人，太丢人了，简直。然后我就开了二周末噩梦难度。然后发现就是说你去那个 sky 后的之前，, Start Time: 1146190
Text: 嗯，你大概就得磨个三十个小时都过不去是吗？对我那个就是不敢打主线，根本就你打根本就过不去，然后就就停不下来，中间还没补给什么的。对对对，而且就是你就算是打小支线，你也得过一会儿就传送到营营地去歇歇会儿。对对对，歇一会儿，然后再起码得跑，我觉得就特别累打的。, Start Time: 1166810
Text: 但是时间也是过的挺快的，而且特别充实啊，不是他的难度提高是提高在敌人 AI 上，还是在他血量，还是攻击力什么的呀？嗯，就是你特爱死，对，特爱死，就是是感觉就就数数上的的难度，嗯，应该是一周末，感觉就没怎么死过吧。打龙也是感觉十一二级过去，我玩困难难度，我我经常会死是吗？, Start Time: 1188740
Text: 只要打同级别的人有难的，我一般比较难的我都会死。那噩梦难度跟困难难度应该有区别的。就是他会有那种死卡，你的地方就是你必须就狂过不去。对，必须有相应的等级和装备，可能啊困难难度也是有的地儿，我就根本打不过，我必须出去外面，别地儿练练，升级过来再打。对，有一次我就是进了主线，, Start Time: 1210220
Text: 打那个不是选选那个 templine 的时候，嗯，哪个 boss 死活打不过，我还重独挡，然后又选了妹子那边。哦，是。对对对，然后特别缺选那边，然后发现好多 NPC 都不理我了，说我们反正太好玩了。对对对对，你们别这样行吗？能更新。但是朝下有一事我特想出了，, Start Time: 1232470
Text: 我当时我真的差点就买张这游戏。你知道我说能游泳，后来好多好多，后来好多群众好多群众跟给我留言，包括麦教授都直接面对面告诉说这游戏不能那一下水就完了。嗯，哎，不过龙腾那个说是唐人亭那块儿，因确确实确实是不有点过分了，已经说小了，确实说说小了，说说小了，说说小了太大了。, Start Time: 1256560
Text: 主说我看那个什么看，最近最近我看了一段视频，那天无意当中不小心看了一视频，就是龙腾就砍砍砍龙呢，一小时候跟那砍龙那个哎呦，我说就是我昨天发了一个微信。对，昨天后来后来我问你，你也不理我。后来我问别人，别人告诉我说那那那那是龙腾，然后说那个我一看那画面上做的确实不错，, Start Time: 1278740
Text: 因为剧了。因为说那天说的确实还是对说这个在我看来啊绝对是还是有语言障碍，就要中文呢，我肯定会买，因为他真的他的背景、历史、故事，还有世界观设计太复杂了。你知道为什么了？我开开说说游戏的实实是感冒了，说因为那天有个人来，那谁有一阵那个谁什么那个那哥们儿来会儿拿龙腾，, Start Time: 1297020
Text: 嗯，当场的看了一，因为我特感兴趣，你知道吗？名字不记得找老张，然后刚开始已经忘了行吗？然后那什么就是一开始那画面做的确实确实不太好。特就是我觉得我觉得他他这龙腾有问题，就是一开始你后面的地图特别漂亮，但是你开始你抓不住人，一开始你开始抓不住人，一开始特别一般，, Start Time: 1317590
Text: 他一下流失很多人。那个个那个我那室友友是是怎么玩游戏戏，他跟我玩玩龙龙腾刚开始的时候觉得说你怎么还会玩这种画面的游戏呢？对，一开始其实，但是到了玩到后面，他那有那个巨漂亮雨林啊，瀑布。对对对对对啊，狂拍对了，没？玩到后面需要多长时间？你说这地方我跟你说这个游戏如果如如如果你不你想玩到比较完美的境界，, Start Time: 1336310
Text: 必须须玩一百百二十个小时，我操一百二十小时才能把基本上所有的任务都做做一遍，又是一个大坑龙的。但是我跟你说一点都不腻。就是光你看那些景色，光当场看探索，就特别是我不知不觉时间就过去了。什么？对，没错，对你逆转跟我说过，他那在沙 m 漠骑马，嗯，他说那沙漠太大了，, Start Time: 1358250
Text: 骑十几分钟才能出去什么的。哇，不是有一个地儿叫那个有一个什么叫什么 west， passing waase，还是什么那个地是巨大。对对对，跑两个营地就要好长好长时间。对对，好多人都打不动那块儿，所以他是而且有那么多地图。对好，我觉得咱们说的差不多了，对他们已经不耐烦了。, Start Time: 1376320
Text: 对对，说不这个我感兴趣的，我已经策划了两到三期节目，准备在明年以权谋私，为大家奉上特别精彩的关于龙腾世纪的世界观、剧情以及 bireway 的故事。对，就是就是看完你这之后，就是说不不用里头的剧情的英文什么的，不太懂什么的也可以了。李黑板。对，而且当你等级到的时候，, Start Time: 1395640
Text: 你去沙龙的时候，那个体验简直太棒了。我操那个震撼力啊，狂沙龙是吗？对，太棒了。而且我那个就是老说这游游戏，就是因为我第一次玩这种游戏，就是我以前像他是一个初出入这种美式 RPG 的，这前一点都不碰了。对，就是 MS evice 就碰不了都对，然后这回感觉也不错。, Start Time: 1415760
Text: 对对，深入人心。老杨哥玩什么？最近我最近玩，我最近在玩那个 PSV 的那个天域，好暴走，玩什么？最近呃呃测测迟实实实实欲时域实力篇实际机战实力天实一篇，首实一篇看书看多了，不是之前天狱不是立了个美电影吗？对啊，下一步叫天天天域，中间还有一个连狱，连续篇。不是明年四月二号发售那个吗？, Start Time: 1435280
Text: 最近就是哎前那坑补补补，现在现在打到那个天狱，还挺第第二二十二话了，觉得你不这其实不用太介绍，大家都玩过，只不过就是就是补坑呢是所以暴走说了嗯嗯呃三 DS 的那个世嘉三 d 复刻哦，他等于把之前 e sharp 上一些街机的街机和 MD 游戏打包，重新出了一个实体版，, Start Time: 1459460
Text: 而且还送了两个新的 SMS 的那个试驾游戏，嗯，非常厚道，都有几几个游戏。嗯，超级人超超级忍二超忍二海铁拳，诺贝尔铁拳一太空，哈利奥特 ran 海豚、海豚有海豚，然后还有两 ft 那个梦幻地带，对，梦幻地带，然后剩下两个那个 master fifsteam 上的就是太空哈利和那个奥特润的八位家用版。, Start Time: 1480340
Text: 对，挺棒的。刚才玩了一下，还有那个模拟街机那个框体的那个那种移动那种移动的效果。当时我跟豹走，我们俩看亚马逊上的评语，人家就是说说你要开成那种矿体移动，再开三 d 模会特别晕。对，因为它速度感特是有点晕，刚才感觉有点晕。你要是玩它那上那个家用版的游戏，玩 MD 的话，, Start Time: 1506870
Text: 它有一个三 d 膜特别牛逼，就是把电视调成那种球形显示。对，说那个 RD 的的果特漂亮。对，那真的就跟你老彩阶那种路子似的。对，说一小插曲啊，就这个游戏里头这里头不个超级人。二嗯以前在那 MD 上不是有一个秘籍吗？可以调那个无线手手里剑的那个嗯嗯，在这里头秘籍还是一样的，, Start Time: 1525770
Text: 还可以使有有点高兴的特特怀旧，觉得原味儿特别怀旧的。我跟你说特别牛逼的制作组，一般都会把那个经典的 bug 留到后面的作品里面。比如说龙腾世纪复制物质的 bug 跟一代的时候一模一样。我现在要不是能复制，我都过不去那个。好，我们不说这个毛毛最近玩什么游戏呢？, Start Time: 1546910
Text: 哎，作为女生就玩玩点温柔的呗， GTA 是吗？对，这 DA 温柔完了，还有就小小大三好玩吗？是不是掉帧掉特厉害，我就就是慢慢了的的是嗯，完了就你要赶上 bug，就是出地图，我不跟老孙都赶上了吗？哦，老孙也玩了。对啊，完了就出地图了，好玩吗？这一代这个反正我觉得还行，, Start Time: 1568180
Text: 因为他感觉我感觉跟之前的不一样，就是他有那种前后的，完了还多了几种什么，就是那道道具操作的那个不一样，反反正我挺喜欢，一直都挺喜欢，难不难？这一代嗯嗯嗯嗯嗯不难吧，这代是不是主打多人联机对发，且你不的的角好像不太一样样，共有区别。四个角色算上之前那小人一共四个，, Start Time: 1590560
Text: 对他加强协作性功能也不一样。对，有的是蹦高的，有的是撞的，有的体重大的。对对，还有一个鸟可以把别的玩家脱在高高高台上。对对，然后那个每个角色都有不同的衣服嘛，就是你美观进去之后解锁一个角色，然后你可以他有一商店，你减金灵的，完了你去买去，然后就是各种挺挺好玩的那衣服。, Start Time: 1614780
Text: 对，适合家庭同乐。对，没错，你要说家庭哄爸妈，你要说家庭同乐忙的，我我就想听你女儿家视角玩地铁舞那些乐事。就那杨哥是不是跟跟杨哥一块联机？嗯，那不是就群里那几个人雨落什么老宋什么，我们几个第一回就是那个不有一任务是泰坦那个开飞机，抢大大飞机那个完了就抢飞机那个。, Start Time: 1637180
Text: 对对对，抢飞机不是什么难那个对嗯，刚开始不都开的不好吗？然后旁边大飞机旁边有一小飞机，然后我们坐了几回之后，那个我就是有一开飞机特好，就胡子开飞机特好嘛，胡子开那个大的，完了杨哥就喊什么，你等会儿等会儿等会儿我上去，等会上上去了。胡子给他压死，严构成起落架了完了那个那不是他那屏幕左下角的提示就三六零呃，, Start Time: 1662790
Text: 河阳三六零一死亡。对，杨三六零就因为你起的名字，因为你还叫河阳三六。对对对，刚才安哥刚才说我呢，说我他那那那那 SS 那号他很很不理解，很不理解，为什么三六零你道吗？对，但是那那会儿那赖我非常喜欢赖，我觉得就是毕竟那一代还是软饭不行。但是你现在是个韧腿，哎，, Start Time: 1691990
Text: 毛毛，你说杨杨撞撞铁，你那事？对，就是那泰坦那机场，他不是那个门，你刚才进不去，都一般都是飞进去，飞去吧，我们都飞进去了。杨哥杨哥跟谁一车，跟老宋一车是不是胡，好像是胡子一车吧，跟完了要进去撞的，有一个门是撞两圈能撞开的。然后呢，杨哥就在那撞撞撞撞得好几回回，, Start Time: 1711970
Text: 那那那那不开呀，咱们说了。对，后来都后来来怎么进去去的，我把车就给撞撞着了吗？不是，他们特特能李段两天记忆力不太好，你知道吗？嗯，就是他们怎么进去我也不知道，但是我觉得正常按照正常逻辑来讲，有一个铁门集结这种游戏吗？就是前面撞撞就撞吗？然后就那活撞不开，后来我觉得游戏可能有 bug 吗？, Start Time: 1736790
Text: 后来他后来他们就告诉我，其实不是从那门过去撞撞去，从边上飞进去，那门那门撞不开，是那机场对机机，那那机场的时候是有一小土坡，但是那个车特特孙的那边上根本就看不见啊。后来他他们都飞进去了。哎，杨哥，一百二十没开车撞吗？不，那那那反那门出来的时候能撞两圈能撞开了，, Start Time: 1759110
Text: 老老是早老师确确实是，而且进里头我觉得今天 GTA 开飞机以前我没开过吗？就是他设计的，我觉得不是不是特好得了吧。那小飞机开小飞机就小飞机呢，我就不让毛毛说，我自个儿说啊，就他们去抢一大飞机，我是抢不着吗？不是要不就抢飞着，就不就就压死，要要不就死死了，反正就是连他妈坐都不让我坐。, Start Time: 1779170
Text: 杨哥，你这人不不得好死，反后来杨哥哥看都会飞飞飞，对不不说让我开了。后来我说你们抢大的好吧，我抢抢小的的，边上不还有小飞机呢吗？这不好不会起飞机是而且就不会不会起飞，而且拉，而且而且更设计就是不好的地方是什么呀？他撞到边上任何碰一个东西，它爆炸了，你知道吗？, Start Time: 1798240
Text: 就很符合现实。对，不是你小飞机，你怎么就碰一下就就爆炸了吗吗？样他还是水平衡了，你吃了好几架没，反而就就跟那蹭了蹭。哎，杨哥杨哥，你开那是不是就是反农压那滑翔机？对，就是就是那就就就那滑翔机，然后就导致我就是没起飞，就就就爆炸了，又飞压了飞爆炸炸爽爽爽。对，, Start Time: 1818600
Text: 就弹出一个对那个繁体字河洋三六零的意思。但是所以我说他这个设计对这对于新就是呃新手来讲，特别友不是特别友好，特别友好，特别好玩。那飞机真不好开，就是巨好开，他起不来直升机，你开了我那更难直直升机，直升机那种俯冲那种惯性对直升机，我觉得直升机比滑翔机好开是吗？, Start Time: 1839640
Text: 但好多人不会开飞，但直升机理解的原理的话挺好开的。对，就好多人不理解，不知道怎么着开，是就要补充那边反正巨好开，反正我我我也理解，就是可能我开飞机不行，但是我开车还可以打飞机，就是所以玩，所以玩飞飞机。哎，杨哥说一事儿，你别生气啊，就是你说他们那个 GTA online 的那个数据维护组老搁那开车，, Start Time: 1862190
Text: 这他妈叫嘿嘿河洋三六零人老死直人，是不是？微软派的毁这游戏就叫那个男人，最后游戏完了不给我评价嘛。然后杨哥老每次都差评，差评，就在差评，摁方块差评。对嗯，对，还特意玩 PS 版的呢，知道吗？嗯，可以玩，是开车开的好吧，因为 DC 玩的多，对，开车开的好。嗯，, Start Time: 1883390
Text: 我发现就是说起 DC 来呢不是做广告啊，现在有越来越多的朋友开始玩，哎，开始玩玩，我想平反一下，我操太难了。对，是吧？那天啊看了一段那个视频，因为我那游戏删了嘛，所以所以所以他开那个平反，所以更新了之后我没玩。但我看了一个视频，下雨了，下雨那个我真他妈惊了，, Start Time: 1904000
